Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,media,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,treatment
SRR5766394,OTHER,66,713533558,PRJNA392312,SAMN07291137,273367019,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965789,GSM2689489,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689489,Yeast,SRP110707,BY4741 with urm1D::kanMX,Cycloheximide
SRR5766395,OTHER,67,844183093,PRJNA392312,SAMN07291141,321466705,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX2965790,GSM2689490,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689490,Yeast,SRP110707,BY4741 with rit1D::kanMX,Cycloheximide
SRR5766396,OTHER,67,1425557086,PRJNA392312,SAMN07291127,536683601,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX2965791,GSM2689491,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689491,Yeast,SRP110707,BY4741,Cycloheximide
SRR5766397,OTHER,67,2428146626,PRJNA392312,SAMN07291126,902586633,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965792,GSM2689492,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689492,Yeast,SRP110707,BY4741 with trm4D::kanMX,Cycloheximide
SRR5766398,OTHER,67,2442831668,PRJNA392312,SAMN07291147,914392251,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965793,GSM2689493,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689493,Yeast,SRP110707,BY4741 with trm7D::kanMX,Cycloheximide
SRR5766399,OTHER,67,1273164165,PRJNA392312,SAMN07291142,494824996,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965794,GSM2689494,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689494,Yeast,SRP110707,BY4741 with trm732D::kanMX,Cycloheximide
SRR5766400,OTHER,66,1157029205,PRJNA392312,SAMN07291146,440060151,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965795,GSM2689495,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689495,Yeast,SRP110707,BY4741 with rtt10D::kanMX,Cycloheximide
SRR5766401,OTHER,66,1258394078,PRJNA392312,SAMN07291144,479669439,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX2965796,GSM2689496,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689496,Yeast,SRP110707,BY4741,Cycloheximide
SRR5766402,OTHER,66,1308490666,PRJNA392312,SAMN07291145,499112736,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965797,GSM2689497,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689497,Yeast,SRP110707,BY4741 with elp1D::kanMX,Cycloheximide
SRR5766403,OTHER,66,1515390105,PRJNA392312,SAMN07291143,569519725,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965798,GSM2689498,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689498,Yeast,SRP110707,BY4741 with elp3D::kanMX,Cycloheximide
SRR5766404,OTHER,66,1403833718,PRJNA392312,SAMN07291140,535703660,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX2965799,GSM2689499,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689499,Yeast,SRP110707,BY4741 with kti11D::kanMX,Cycloheximide
SRR5766405,OTHER,66,1324337941,PRJNA392312,SAMN07291151,498597836,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965800,GSM2689500,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689500,Yeast,SRP110707,BY4741 with pus1D::kanMX,Cycloheximide
SRR5766406,OTHER,66,1479538895,PRJNA392312,SAMN07291152,559845749,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965801,GSM2689501,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689501,Yeast,SRP110707,BY4741 with pus7D::kanMX,Cycloheximide
SRR5766407,OTHER,66,1629054310,PRJNA392312,SAMN07291149,625900994,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965802,GSM2689502,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689502,Yeast,SRP110707,BY4741,Cycloheximide
SRR5766408,OTHER,67,1581333014,PRJNA392312,SAMN07291153,595539550,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965803,GSM2689503,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689503,Yeast,SRP110707,BY4741 with urm1D::kanMX,Cycloheximide
SRR5766409,OTHER,66,1523319444,PRJNA392312,SAMN07291150,580509745,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965804,GSM2689504,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689504,Yeast,SRP110707,BY4741 with rit1D::kanMX,Cycloheximide
SRR5766410,OTHER,65,1061405026,PRJNA392312,SAMN07291154,451204193,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX2965805,GSM2689505,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689505,Yeast,SRP110707,BY4741,Cycloheximide
SRR5766411,OTHER,64,1243488721,PRJNA392312,SAMN07291155,529842725,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX2965806,GSM2689506,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689506,Yeast,SRP110707,BY4741,Cycloheximide
SRR5766412,OTHER,64,1314097119,PRJNA392312,SAMN07291148,559513955,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX2965807,GSM2689507,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689507,Yeast,SRP110707,BY4741 with trm3D::kanMX,Cycloheximide
SRR5766413,OTHER,63,1109114365,PRJNA392312,SAMN07291134,473349539,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX2965808,GSM2689508,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689508,Yeast,SRP110707,BY4741 with trm1D::kanMX,Cycloheximide
SRR5766414,OTHER,64,1133215571,PRJNA392312,SAMN07291236,484028618,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965809,GSM2689509,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689509,Yeast,SRP110707,BY4741 with trm11D::kanMX,Cycloheximide
SRR5766415,OTHER,65,1192133245,PRJNA392312,SAMN07291131,506403115,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX2965810,GSM2689510,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689510,Yeast,SRP110707,BY4741 with trm12D::kanMX,Cycloheximide
SRR5766416,OTHER,65,996744638,PRJNA392312,SAMN07291133,428602898,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965811,GSM2689511,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689511,Yeast,SRP110707,BY4741 with trm10D::kanMX,Cycloheximide
SRR5766417,OTHER,65,1147617545,PRJNA392312,SAMN07291156,493771177,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965812,GSM2689512,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689512,Yeast,SRP110707,BY4741 with trm44D::kanMX,Cycloheximide
SRR5766418,OTHER,64,1026346081,PRJNA392312,SAMN07291129,433090401,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX2965813,GSM2689513,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689513,Yeast,SRP110707,BY4741 with trm2D::kanMX,Cycloheximide
SRR5766419,OTHER,65,1202068676,PRJNA392312,SAMN07291132,510349371,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965814,GSM2689514,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689514,Yeast,SRP110707,BY4741 with pus3D::kanMX,Cycloheximide
SRR5766420,OTHER,64,1142930541,PRJNA392312,SAMN07291130,493144865,GEO,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX2965815,GSM2689515,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689515,Yeast,SRP110707,BY4741 with pus9D::kanMX,Cycloheximide
SRR5766421,OTHER,65,1077220420,PRJNA392312,SAMN07291160,464610403,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965816,GSM2689516,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689516,Yeast,SRP110707,BY4741 with pus2D::kanMX,Cycloheximide
SRR5766422,OTHER,64,1055614714,PRJNA392312,SAMN07291239,457268951,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX2965817,GSM2689517,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689517,Yeast,SRP110707,BY4741 with elp4D::kanMX,Cycloheximide
SRR5766423,OTHER,65,949843484,PRJNA392312,SAMN07291240,406816460,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965818,GSM2689518,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689518,Yeast,SRP110707,BY4741 with kti12D::kanMX,Cycloheximide
SRR5766424,OTHER,64,988477434,PRJNA392312,SAMN07291157,419903567,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965819,GSM2689519,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689519,Yeast,SRP110707,BY4741 with sit4D::kanMX,Cycloheximide
SRR5766425,OTHER,64,823532552,PRJNA392312,SAMN07291158,349059184,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965820,GSM2689520,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689520,Yeast,SRP110707,BY4741 with sap185D::kanMX,Cycloheximide
SRR5766426,OTHER,64,968337123,PRJNA392312,SAMN07291159,410576143,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965821,GSM2689521,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689521,Yeast,SRP110707,BY4741 with sap190D::kanMX,Cycloheximide
SRR5766427,OTHER,64,980797861,PRJNA392312,SAMN07291238,418932598,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965822,GSM2689522,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689522,Yeast,SRP110707,BY4741 with uba4D::kanMX,Cycloheximide
SRR5766428,OTHER,64,832757007,PRJNA392312,SAMN07291237,356572406,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965823,GSM2689523,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689523,Yeast,SRP110707,BY4741 with ncs2D::kanMX,Cycloheximide
SRR5766429,OTHER,64,856249071,PRJNA392312,SAMN07291164,369309636,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX2965824,GSM2689524,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689524,Yeast,SRP110707,BY4741 with isu1D::kanMX,Cycloheximide
SRR5766430,OTHER,64,913203046,PRJNA392312,SAMN07291161,389267161,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965825,GSM2689525,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689525,Yeast,SRP110707,BY4741 with isu2D::kanMX,Cycloheximide
SRR5766431,OTHER,64,984918655,PRJNA392312,SAMN07291162,416584870,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX2965826,GSM2689526,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689526,Yeast,SRP110707,BY4741 with tum1D::kanMX,Cycloheximide
SRR5766432,OTHER,57,913993712,PRJNA392312,SAMN07291167,371485826,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX2965827,GSM2689527,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689527,Yeast,SRP110707,BY4741 with tad1D::kanMX,Cycloheximide
SRR5766433,OTHER,57,907919428,PRJNA392312,SAMN07291172,373925251,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX2965828,GSM2689528,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689528,Yeast,SRP110707,BY4741 with trm140D::kanMX,Cycloheximide
SRR5766434,OTHER,57,973315279,PRJNA392312,SAMN07291166,403333612,GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX2965829,GSM2689529,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689529,Yeast,SRP110707,BY4741 with dus1D::kanMX,Cycloheximide
SRR5766435,OTHER,57,798769148,PRJNA392312,SAMN07291163,333729054,GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX2965830,GSM2689530,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689530,Yeast,SRP110707,BY4741 with dus3D::kanMX,Cycloheximide
SRR5766436,OTHER,57,935923249,PRJNA392312,SAMN07291165,387722819,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965831,GSM2689531,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689531,Yeast,SRP110707,BY4741 with dus4D::kanMX,Cycloheximide
SRR5766437,OTHER,58,1008615501,PRJNA392312,SAMN07291168,410487429,GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX2965832,GSM2689532,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689532,Yeast,SRP110707,BY4741 with tyw3D::kanMX,Cycloheximide
SRR5766438,OTHER,57,901621891,PRJNA392312,SAMN07291169,373024225,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965833,GSM2689533,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689533,Yeast,SRP110707,BY4741 with tyw4D::kanMX,Cycloheximide
SRR5766439,OTHER,58,1014858211,PRJNA392312,SAMN07291170,417416151,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965834,GSM2689534,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689534,Yeast,SRP110707,BY4741 with elp6D::kanMX,Cycloheximide
SRR5766440,OTHER,57,995071824,PRJNA392312,SAMN07291176,410224166,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX2965835,GSM2689535,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689535,Yeast,SRP110707,BY4741 with trm82D::kanMX,Cycloheximide
SRR5766441,OTHER,57,1005271981,PRJNA392312,SAMN07291171,411368735,GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX2965836,GSM2689536,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689536,Yeast,SRP110707,BY4741 with elp2D::kanMX,Cycloheximide
SRR5766442,OTHER,56,881067027,PRJNA392312,SAMN07291174,365153817,GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX2965837,GSM2689537,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689537,Yeast,SRP110707,BY4741 with ncs6D::kanMX,Cycloheximide
SRR5766443,OTHER,56,867730259,PRJNA392312,SAMN07291175,355205237,GEO,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX2965838,GSM2689538,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689538,Yeast,SRP110707,BY4741 with pus4D::kanMX,Cycloheximide
SRR5766444,OTHER,57,960900060,PRJNA392312,SAMN07291173,393593546,GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX2965839,GSM2689539,NextSeq 500,SINGLE,other,TRANSCRIPTOMIC,YPD,Saccharomyces cerevisiae,ILLUMINA,2017-06-30T00:00:00Z,GSM2689539,Yeast,SRP110707,BY4741 with pus5D::kanMX,Cycloheximide
